product_name,store_name,price,source
Bacon 375g,Walmart,3.97,flyer
Bacon 375g,Food Basics,3.99,flyer
Bacon 375g,No Frills,2.50,flyer
Broccoli Crowns,No Frills,1.44,flyer
Broccoli Crowns,Food Basics,2.50,flyer
Cauliflower,Food Basics,1.25,flyer
Cauliflower,No Frills,3.99,flyer
Avocados 5-pack,Walmart,3.98,flyer
Avocados 5-pack,No Frills,3.99,flyer
McIntosh Apples (bag),Walmart,3.98,flyer
McIntosh Apples (bag),Food Basics,2.98,flyer
McIntosh Apples (bag),No Frills,4.99,flyer
Seedless Grapes,Walmart,3.44,flyer
Seedless Grapes,No Frills,1.49,flyer
White Bread,Walmart,2.68,flyer
White Bread,No Frills,2.48,flyer
White Bread,Food Basics,2.99,flyer
Salted Butter 454g,No Frills,4.99,flyer
Salted Butter 454g,Walmart,4.97,flyer
Shredded or Block Cheese ~400g,Walmart,4.98,flyer
Shredded or Block Cheese ~400g,No Frills,4.99,flyer
Shredded or Block Cheese ~400g,Food Basics,4.88,flyer
Greek Yogurt 650-750g,Walmart,6.46,flyer
Greek Yogurt 650-750g,Food Basics,6.99,flyer
Laundry Detergent 4.25L,Walmart,13.97,flyer
Laundry Detergent 4.25L,No Frills,12.99,flyer
Laundry Detergent 4.25L,Food Basics,13.99,flyer
Bathroom Tissue Multi-pack,Walmart,10.97,flyer
Bathroom Tissue Multi-pack,Food Basics,10.98,flyer
Bathroom Tissue Multi-pack,No Frills,5.99,flyer
Pasta Sauce,Food Basics,3.49,flyer
Pasta Sauce,No Frills,2.97,flyer
Frozen Thin Crust Pizza,Walmart,3.98,flyer
Frozen Thin Crust Pizza,No Frills,3.50,flyer
Boneless Skinless Chicken Breasts,Walmart,6.34,flyer
Boneless Skinless Chicken Breasts,No Frills,5.99,flyer
Cream Cheese 227-250g,Walmart,3.97,flyer
Cream Cheese 227-250g,No Frills,3.00,flyer
Family Size Cereal,Food Basics,5.48,flyer
Family Size Cereal,No Frills,5.50,flyer
Strawberries 1lb,Food Basics,4.99,flyer
Strawberries 1lb,No Frills,4.99,flyer
Carrots 3lb Bag,Walmart,2.44,flyer
Carrots 3lb Bag,No Frills,2.99,flyer
Yellow Onions 3lb Bag,Walmart,2.44,flyer
Yellow Onions 3lb Bag,No Frills,2.99,flyer
Olive Oil 750mL-1L,Walmart,11.97,flyer
Olive Oil 750mL-1L,No Frills,7.99,flyer
Whole Chicken,No Frills,2.99,flyer
Lean Ground Beef,Food Basics,7.79,flyer
Lean Ground Beef,No Frills,8.88,flyer
Canned Tomatoes 796mL,No Frills,1.50,flyer
Canned Soup,No Frills,0.95,flyer
Canned Soup,Food Basics,1.25,flyer
Peanut Butter,Food Basics,5.99,flyer
Spring Water 24-pack 500mL,Walmart,2.98,flyer
Potato Chips,Walmart,5.47,flyer
Potato Chips,Food Basics,3.50,flyer
Chocolate Bar,Walmart,2.62,flyer
Dish Soap,Walmart,2.46,flyer
Dish Soap,FreshCo,2.49,flyer
Cauliflower,FreshCo,2.99,flyer
Avocados 5-pack,FreshCo,4.99,flyer
Carrots 3lb Bag,FreshCo,2.99,flyer
Yellow Onions 3lb Bag,FreshCo,2.99,flyer
Bathroom Tissue Multi-pack,FreshCo,12.99,flyer
Laundry Detergent 4.25L,FreshCo,13.99,flyer
Cream Cheese 227-250g,FreshCo,3.99,flyer
Greek Yogurt 650-750g,FreshCo,6.99,flyer
Canned Soup,FreshCo,2.99,flyer
Potato Chips,FreshCo,2.99,flyer
Chocolate Bar,FreshCo,1.00,flyer
Peanut Butter,FreshCo,5.99,flyer
White Bread,FreshCo,3.49,flyer
Soft Drinks 12-pack (Cola),Food Basics,7.48,flyer
Soft Drinks 12-pack (Cola),FreshCo,7.99,flyer
Coffee K-Cups/Capsules,Food Basics,14.99,flyer
Coffee K-Cups/Capsules,FreshCo,14.99,flyer
Ground Beef 454g,FreshCo,8.49,flyer
Sweet Potatoes,Walmart,0.94,flyer
Sweet Potatoes,No Frills,1.49,flyer
Gala Apples,No Frills,0.77,flyer
Gala Apples,FreshCo,0.99,flyer
Evaporated Milk 354mL,Walmart,1.74,flyer
Evaporated Milk 354mL,FreshCo,1.69,flyer
Family Size Crackers,No Frills,2.00,flyer
Family Size Crackers,FreshCo,3.99,flyer
Bagels,Food Basics,1.49,flyer
Cat Food 8kg,Food Basics,16.99,flyer
Jasmine Rice 8kg,No Frills,12.88,flyer
Lamb Leg,FreshCo,6.99,flyer
Chicken Drumsticks,FreshCo,2.49,flyer
Pork Half Loin,No Frills,1.99,flyer
