name,brand,category,barcode
Bacon 375g,Various,Meat,
Broccoli Crowns,,Produce,
Cauliflower,,Produce,
Avocados 5-pack,,Produce,
McIntosh Apples (bag),,Produce,
Seedless Grapes,,Produce,
White Bread,Various,Bakery,
Salted Butter 454g,Various,Dairy,
Shredded or Block Cheese ~400g,Various,Dairy,
Greek Yogurt 650-750g,Various,Dairy,
Laundry Detergent 4.25L,Gain,Household,
Bathroom Tissue Multi-pack,Various,Household,
Pasta Sauce,Classico,Pantry,
Frozen Thin Crust Pizza,Various,Frozen,
Boneless Skinless Chicken Breasts,,Meat,
Cream Cheese 227-250g,Various,Dairy,
Family Size Cereal,Various,Pantry,
Strawberries 1lb,,Produce,
Carrots 3lb Bag,,Produce,
Yellow Onions 3lb Bag,,Produce,
Olive Oil 750mL-1L,Various,Pantry,
Whole Chicken,,Meat,
Lean Ground Beef,,Meat,
Canned Tomatoes 796mL,Unico,Pantry,
Canned Soup,Campbell's,Pantry,
Peanut Butter,Kraft,Pantry,
Spring Water 24-pack 500mL,Great Value,Beverages,
Potato Chips,Various,Snacks,
Chocolate Bar,Cadbury,Snacks,
Dish Soap,Dawn,Household,
Soft Drinks 12-pack (Cola),Various,Beverages,
Coffee K-Cups/Capsules,Various,Beverages,
Ground Beef 454g,Various,Meat,
Sweet Potatoes,,Produce,
Gala Apples,,Produce,
Evaporated Milk 354mL,Carnation,Pantry,
Family Size Crackers,Christie,Pantry,
Bagels,,Bakery,
Cat Food 8kg,Purina,Pet,
Jasmine Rice 8kg,,Pantry,
Lamb Leg,Thomas Farms,Meat,
Chicken Drumsticks,,Meat,
Pork Half Loin,,Meat,
